date,CPI(2001-01=100),Core_CPI,M2_Growth,DR007,PPI,Oil_Price,PMI_Output_Price,EPUCHINA,Exchange_Rate,Fiscal_Exp_Growth
2007-06-01,99.50445986124876,99.96571428571433,377832.15,,,71.54666666666665,62.8,77.089464,0.1310684701688162,17920.0
2007-07-01,100.0,99.93971428571427,383884.88,,,77.015,58.9,136.720578,0.1319174196952708,21156.6
2007-08-01,100.29732408325074,100.09114285714288,387205.04,,,70.73630434782608,63.0,56.73624,0.13200797328158623,24583.2
2007-09-01,99.4053518334985,100.01399999999998,393098.91,,,76.65157894736842,65.6,90.571203,0.13287623907092933,29016.3
2007-10-01,99.4053518334985,100.24514285714288,394204.17,,,82.68954545454545,66.1,92.542597,0.1333120034127873,32576.6
2007-11-01,99.8017839444995,100.27628571428573,399757.91,,,92.61636363636363,70.1,108.428475,0.13471097759756442,37084.8
2007-12-01,100.09910802775023,100.37857142857146,403401.3,,,90.97500000000001,69.0,93.82693,0.13572940984852597,
2008-01-01,100.29732408325074,100.95685714285712,417846.17,,,92.00136363636364,67.7,142.805243,0.13797290212202323,
2008-02-01,101.6848364717542,100.94742857142856,421037.84,,,95.65368421052634,70.1,157.754268,0.13966285387075603,5969.9
2008-03-01,98.41427155599602,100.88685714285715,423054.53,,,103.63050000000001,74.6,174.011721,0.1413387607417458,9506.7
2008-04-01,99.207135777998,101.32400000000003,429313.72,,,108.97363636363633,75.1,145.514492,0.1428428585712857,13585.2
2008-05-01,98.71159563924677,101.18371428571429,436221.6,,,122.72904761904762,73.9,100.683584,0.14342263782915496,17609.8
2008-06-01,98.90981169474726,100.96314285714288,443141.02,,,132.43285714285713,75.7,157.011933,0.14498847341636337,22882.0
2008-07-01,99.207135777998,101.02571428571427,446362.17,,,133.18521739130435,71.3,152.117924,0.14625014625014623,27443.5
2008-08-01,99.00891972249752,100.87428571428573,448846.68,,,113.03238095238096,57.8,205.628457,0.14595344085236808,31479.2
2008-09-01,99.10802775024776,100.83714285714287,452898.71,,,98.13318181818182,44.7,298.387002,0.1463978801586953,36428.1
2008-10-01,98.81070366699703,100.98942857142859,453133.32,,,71.86260869565217,32.3,187.568241,0.14637859359447275,40571.3
2008-11-01,98.31516352824579,101.01942857142859,458644.66,,,52.75699999999999,26.6,194.237039,0.1464429019125443,45825.3
2008-12-01,98.90981169474726,101.17571428571435,475166.6,,,40.35047619047619,32.7,232.766393,0.1461475505670525,
2009-01-01,100.0,101.35228571428574,496135.31,,,43.61500000000001,41.5,223.546869,0.14623731391301806,
2009-02-01,99.10802775024776,100.6817142857143,506708.07,,,43.07299999999999,46.5,170.978141,0.14629079684597043,7803.5
2009-03-01,98.81070366699703,100.40542857142857,530626.71,,,46.545,48.3,184.495767,0.14632504645820227,12810.9
2009-04-01,98.90981169474726,100.3777142857143,540481.21,,,50.339999999999996,51.3,152.913324,0.14638716477339267,17889.0
2009-05-01,98.81070366699703,100.36714285714287,548263.51,,,57.48263157894736,53.1,91.164708,0.14653088138325154,22497.0
2009-06-01,98.61248761149652,100.21971428571432,568916.2,,,68.5531818181818,57.8,131.52881,0.14634431891353977,28902.6
2009-07-01,99.10802775024776,100.20914285714287,573102.85,,,64.60739130434781,59.9,103.931916,0.14637002341920374,33888.2
2009-08-01,99.603567888999,100.18657142857145,576698.95,,,72.71000000000001,62.6,92.431093,0.14636573870788325,38625.4
2009-09-01,99.50445986124876,100.4011428571429,585405.34,,,67.38636363636364,57.5,160.951645,0.14643646853812475,45202.8
2009-10-01,99.00891972249752,100.16657142857144,586643.29,,,72.75454545454546,56.9,75.796264,0.14646649578908824,49886.0
2009-11-01,99.4053518334985,100.33999999999999,594604.72,,,76.65523809523808,63.4,68.890271,0.14646864106394822,56236.0
2009-12-01,100.09910802775023,100.27885714285715,610224.52,,,74.27523809523808,66.7,74.858231,0.14645791531803334,
2010-01-01,99.70267591674926,99.43571428571428,625609.29,,,76.1905,68.5,95.782084,0.1464707864016522,
2010-02-01,100.29732408325074,99.73485714285712,636072.26,,,73.63199999999999,61.1,103.444367,0.14647722279185588,8406.0
2010-03-01,98.41427155599602,99.83457142857142,649947.46,,,78.89173913043477,65.1,90.395699,0.1464900972694246,14330.0
2010-04-01,99.30624380574827,99.98200000000001,656561.22,,,84.88450000000002,72.6,46.745431,0.14649438926489117,19905.5
2010-05-01,99.00891972249752,99.89228571428572,663351.37,,,75.1645,58.9,156.548618,0.14646864106394822,25692.2
2010-06-01,98.51337958374629,100.00314285714282,673921.72,,,74.87363636363636,51.3,130.013502,0.14670285337049807,33811.4
2010-07-01,99.50445986124876,100.0914285714286,674051.48,,,75.63772727272728,50.4,70.815674,0.14754703061600882,39622.2
2010-08-01,99.70267591674926,100.14257142857142,687506.92,,,77.14761904761905,60.5,104.102986,0.14727323603481543,46035.9
2010-09-01,99.70267591674926,100.29400000000003,696471.5,,,77.795,65.3,121.597436,0.14823159704722658,54505.0
2010-10-01,99.8017839444995,100.1737142857143,699776.74,,,82.74619047619048,69.9,74.115958,0.14985314391895943,60993.3
2010-11-01,100.19821605550048,100.25342857142857,710339.03,,,85.32636363636365,73.5,82.423064,0.15024489918567263,71592.9
2010-12-01,99.603567888999,100.27857142857142,725851.79,,,91.35857142857142,66.7,110.673247,0.15034202811395925,89575.0
2011-01-01,100.09910802775023,100.62914285714288,733884.83,,100.9,96.5425,69.3,172.680399,0.15145319339058264,
2011-02-01,100.29732408325074,100.66171428571427,736130.86,,100.8,103.76199999999999,70.1,46.08258,0.15190411812064222,10483.6
