baseline,enhanced,regime,n,rmse_baseline,rmse_enhanced,pct_improvement,dm_stat,p_value,better
pca_baseline,pca_enhanced,supply_high=1,17,0.46604511640064744,0.4978775214571384,-6.830326922495932,-0.6920363437896718,0.49883515583215665,pca_baseline
pca_baseline,pca_enhanced,supply_high=0,39,0.6455245640473541,0.6821702979788614,-5.676892247406255,-1.336942889760237,0.18919039267434234,pca_baseline
pca_baseline,pca_enhanced,high_inflation=1,27,0.556132720913508,0.6071292512549478,-9.169848927010175,-1.5610211233606293,0.13060964124665397,pca_baseline
pca_baseline,pca_enhanced,high_inflation=0,29,0.6322670245400156,0.6541783660064107,-3.4655202020595515,-0.6616033451661169,0.5136336996689619,pca_baseline
pca_baseline,pca_enhanced,shock_2021_22=1,16,0.4738258726878882,0.5452327537205309,-15.070279009369084,-1.457255326502455,0.16566180457969515,pca_baseline
pca_baseline,pca_enhanced,shock_2021_22=0,40,0.6393662503908206,0.6634461292937158,-3.766210507385411,-0.9029015011603998,0.3721213098342713,pca_baseline
pca_baseline,pca_enhanced,deflation_2023_25=1,30,0.6358473160751374,0.6682369110488117,-5.09392650638267,-1.010919899118866,0.3204155697758464,pca_baseline
pca_baseline,pca_enhanced,deflation_2023_25=0,26,0.5482380563365998,0.5872580900325487,-7.117352260564682,-1.1396751569021042,0.26522378243745015,pca_baseline
comb_baseline,comb_enhanced,full_sample,56,0.5600249728921378,0.5646030642509944,-0.8174798590166288,-0.32706985836824737,0.7448566185164891,comb_baseline
comb_baseline,comb_enhanced,supply_high=1,17,0.4578917402471508,0.465693511201545,-1.7038461864769927,-0.4589932300905108,0.6524128964817508,comb_baseline
comb_baseline,comb_enhanced,supply_high=0,39,0.5991203799320586,0.6026584936904299,-0.5905513944914624,-0.19619433492154395,0.8455035312439947,comb_baseline
comb_baseline,comb_enhanced,high_inflation=1,27,0.5254451539708647,0.5437227447837618,-3.4784964091438972,-1.1970860906384846,0.2420740783102575,comb_baseline
comb_baseline,comb_enhanced,high_inflation=0,29,0.5904021385015661,0.5833719255707682,1.1907499096531837,0.3127304670702947,0.7568028531023443,comb_enhanced
comb_baseline,comb_enhanced,shock_2021_22=1,16,0.47889178361076645,0.489656856666665,-2.247913500359437,-0.5759901208827992,0.5731631149462766,comb_baseline
comb_baseline,comb_enhanced,shock_2021_22=0,40,0.5893591623144712,0.5919305139237088,-0.43629619655689317,-0.14506518782934646,0.8854065315433464,comb_baseline
comb_baseline,comb_enhanced,deflation_2023_25=1,30,0.5886422352285356,0.5987879802417606,-1.7235842768376883,-0.6733214655796429,0.5060738381297862,comb_baseline
comb_baseline,comb_enhanced,deflation_2023_25=0,26,0.5250705411170823,0.5223865121723749,0.5111749249914467,0.10328113211851102,0.9185638990906106,comb_enhanced
