,q05,q10,q25,q50,q75,q90,q95
2024-06-01,-0.599736153496275,-0.5039589285693389,-0.20033410173771102,-0.09983406371305756,0.19945278217135542,0.4012213218243379,0.500509352037406
2024-07-01,-0.5010271294846413,-0.39787642305372073,0.0,0.30030060120239677,0.5001668335001597,0.7050073944949009,0.9631567508842516
2024-08-01,-0.49852983276475027,-0.360889616163066,-0.19980019980018193,0.09970759023091227,0.29970052358002097,0.5005005005005003,0.7025626910239522
2024-09-01,-0.5000877282660181,-0.396158178692112,-0.19921567424487016,0.0,0.20015493765526304,0.40080200561642965,0.6027590423235824
2024-10-01,-0.4990019960079861,-0.497512437810943,-0.3980099502487566,0.1984126984126977,0.6533601603336991,0.9486863530013091,1.1029458060313204
2024-11-01,-0.6558401512793449,-0.501278384250945,-0.39941311901329074,-0.2980478598123337,0.10528501916137967,0.49824139376379345,0.704242767953035
2024-12-01,-0.4971621808480925,-0.3984063745020028,-0.13281877425738073,0.20020339712146046,0.33743962492720214,0.6048539679697551,0.7496503496503548
2025-01-01,-0.4004054154354883,-0.3000225677030774,0.09995009995011905,0.3010035130517008,0.6979062811565351,0.8000212264293155,1.0131712259371817
2025-02-01,-0.6977548104020451,-0.4990019960079861,-0.2273465622398073,0.20065235928891828,0.4996753246753316,0.7035239834507601,1.0964786122826073
2025-03-01,-3.037737872294789,-2.6522593320235766,-1.9792186933827005,-1.3366336633663212,-0.27642134055136325,0.3509323474191343,0.5964214711729587
2025-04-01,-0.49804126684722744,-0.1047358415124508,0.1999472614186639,0.30364372469633416,0.6036217303822866,0.9117655207873433,1.1111111111111072
2025-05-01,-0.6012024048095865,-0.5675307030071584,-0.2997874763810692,-0.09995843329176682,0.10046537189772053,0.29891447289997375,0.4997337498840578
2025-06-01,-0.49841118752549635,-0.3990100733277202,-0.20025475519796915,-0.09970099631492388,0.29943858536670975,0.6979062811565351,0.7549191893577497
